model,layer,normalized_depth,pooling,condition,seed,source_language,target_language,metric,value,n_train,n_eval,record_type,comparison,ci_lower,ci_upper,n_resamples
Qwen/Qwen2.5-0.5B,8,0.3333333333333333,last_token,normal,,zh,ja,mrr,0.3789945864999863,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,en,ko,r1,0.4765625,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,en,ko,mrr,0.5754305975878384,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,en,ja,r1,0.44921875,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,en,ja,mrr,0.5587360133602548,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,en,zh,r1,0.681640625,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,en,zh,mrr,0.7558081447449203,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,ko,en,r1,0.353515625,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,ko,en,mrr,0.45281154108610283,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,ko,ja,r1,0.5625,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,ko,ja,mrr,0.657106947961983,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,ko,zh,r1,0.279296875,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,ko,zh,mrr,0.37632066784643686,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,ja,en,r1,0.337890625,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,ja,en,mrr,0.4407246714556081,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,ja,ko,r1,0.51953125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,ja,ko,mrr,0.6022439782601621,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,ja,zh,r1,0.314453125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,ja,zh,mrr,0.4173266968157213,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,zh,en,r1,0.673828125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,zh,en,mrr,0.756138400373783,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,zh,ko,r1,0.455078125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,zh,ko,mrr,0.5515850620872588,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,zh,ja,r1,0.380859375,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,9,0.375,last_token,normal,,zh,ja,mrr,0.4996665074438923,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,10,0.4166666666666667,last_token,normal,,en,ko,r1,0.515625,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,10,0.4166666666666667,last_token,normal,,en,ko,mrr,0.6101189704724519,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,10,0.4166666666666667,last_token,normal,,en,ja,r1,0.49609375,1024,2048,metric,,,,
