model,block_layer,stage,pooling,condition,source_language,target_language,metric,value,k,n_train,n_eval
Qwen/Qwen2.5-0.5B,7,input,mean,geometry,,,centroid_separation,18.143815994262695,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,geometry,,,centroid_norm,60.802879333496094,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,geometry,,,language_subspace_variance_fraction,0.9662097481028702,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,geometry,,,language_subspace_centroid_variance,1.0,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,geometry,,,anisotropy,0.9929513651330877,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,geometry,,,stable_rank,1.0250093850588526,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,en,ko,r1,0.01171875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,en,ko,mrr,0.03931682491053756,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,en,ja,r1,0.05859375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,en,ja,mrr,0.09443892491554354,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,en,zh,r1,0.80078125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,en,zh,mrr,0.8264880557954224,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,ko,en,r1,0.626953125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,ko,en,mrr,0.7172282472381823,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,ko,ja,r1,0.76953125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,ko,ja,mrr,0.8182164447875009,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,ko,zh,r1,0.478515625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,ko,zh,mrr,0.5755572041714058,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,ja,en,r1,0.830078125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,ja,en,mrr,0.8728222766099314,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,ja,ko,r1,0.564453125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,ja,ko,mrr,0.6199420761024471,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,ja,zh,r1,0.744140625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,ja,zh,mrr,0.8059713936035502,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,zh,en,r1,0.861328125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,zh,en,mrr,0.8890361059735956,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,zh,ko,r1,0.03515625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,zh,ko,mrr,0.07062987042007443,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,zh,ja,r1,0.12890625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,zh,ja,mrr,0.18012037878999163,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,en,ko,r1,0.40234375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,en,ko,mrr,0.44182177725282334,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,en,ja,r1,0.443359375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,en,ja,mrr,0.48625165966756445,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,en,zh,r1,0.626953125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,en,zh,mrr,0.6439804919661758,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,ko,en,r1,0.45703125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,ko,en,mrr,0.4917110093699964,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,ko,ja,r1,0.484375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,ko,ja,mrr,0.5241827567835338,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,ko,zh,r1,0.4765625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,ko,zh,mrr,0.5080056858164723,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,ja,en,r1,0.5,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,ja,en,mrr,0.5253493584822293,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,ja,ko,r1,0.48828125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,ja,ko,mrr,0.5191571368795124,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,ja,zh,r1,0.546875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,ja,zh,mrr,0.5671136169985603,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,zh,en,r1,0.53515625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,zh,en,mrr,0.5588445193241303,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,zh,ko,r1,0.33203125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,zh,ko,mrr,0.37125663916856055,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,zh,ja,r1,0.439453125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,per-language-centered,zh,ja,mrr,0.47913628705901296,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,,,language_probe_accuracy,0.99951171875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,input,mean,raw,,,language_probe_macro_f1,0.9995117182843383,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,geometry,,,centroid_separation,4.998457431793213,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,geometry,,,centroid_norm,11.89372444152832,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,geometry,,,language_subspace_variance_fraction,0.32761753157329865,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,geometry,,,language_subspace_centroid_variance,0.9999999999999999,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,geometry,,,anisotropy,0.8752374966317193,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,geometry,,,stable_rank,5.907163057432274,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,en,ko,r1,0.296875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,output,last_token,raw,en,ko,mrr,0.3909211628820859,3,1024,2048
