record_type,model,pooling,condition,seed,test_language,metric,value,comparison,ci_lower,ci_upper,n_resamples,n_train,n_eval
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,en,accuracy,0.7706666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,en,macro_f1,0.7193830376007918,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,ko,accuracy,0.2946666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,ko,macro_f1,0.2434655175349977,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,ja,accuracy,0.30666666666666664,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,ja,macro_f1,0.2720228447943533,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,zh,accuracy,0.31333333333333335,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,zh,macro_f1,0.30141281174370105,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,en,accuracy,0.718,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,en,macro_f1,0.6418310578644539,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,ko,accuracy,0.08866666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,ko,macro_f1,0.04147527035602744,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,ja,accuracy,0.05733333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,ja,macro_f1,0.012970733962463064,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,zh,accuracy,0.06866666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,zh,macro_f1,0.01614264293546956,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,1,en,accuracy,0.7713333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,1,en,macro_f1,0.7233808619889583,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,1,ko,accuracy,0.29333333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,1,ko,macro_f1,0.23756259402239838,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,1,ja,accuracy,0.288,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,1,ja,macro_f1,0.24751552918187203,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,1,zh,accuracy,0.2986666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,1,zh,macro_f1,0.27523305407107873,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,2,en,accuracy,0.7193333333333334,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,2,en,macro_f1,0.6418236649849361,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,2,ko,accuracy,0.08666666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,2,ko,macro_f1,0.03966863279485276,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,2,ja,accuracy,0.059333333333333335,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,2,ja,macro_f1,0.0137367892460338,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,2,zh,accuracy,0.06933333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,2,zh,macro_f1,0.01688813657692581,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,2,en,accuracy,0.774,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,2,en,macro_f1,0.7253152395556153,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,2,ko,accuracy,0.31866666666666665,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,2,ko,macro_f1,0.2518480333949921,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,2,ja,accuracy,0.30733333333333335,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,2,ja,macro_f1,0.2703639919772718,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,2,zh,accuracy,0.31666666666666665,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,2,zh,macro_f1,0.29500990292539503,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,3,en,accuracy,0.716,,,,,3000,1500
