model,layer,normalized_depth,pooling,condition,seed,source_language,target_language,metric,value,n_train,n_eval,record_type,comparison,ci_lower,ci_upper,n_resamples
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,ja,zh,r1,0.71484375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,ja,zh,mrr,0.7883125902038431,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,zh,en,r1,0.630859375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,zh,en,mrr,0.7739671573708147,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,zh,ko,r1,0.361328125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,zh,ko,mrr,0.49881795535305956,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,zh,ja,r1,0.5390625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,normal,,zh,ja,mrr,0.6254651063063184,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,en,ko,r1,0.037109375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,en,ko,mrr,0.08092799574583848,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,en,ja,r1,0.064453125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,en,ja,mrr,0.13551429998513886,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,en,zh,r1,0.01171875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,en,zh,mrr,0.06766429280511563,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,ko,en,r1,0.619140625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,ko,en,mrr,0.7262222713319382,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,ko,ja,r1,0.34375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,ko,ja,mrr,0.4593835656177462,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,ko,zh,r1,0.2421875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,ko,zh,mrr,0.34908543308546613,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,ja,en,r1,0.330078125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,ja,en,mrr,0.4792903341763929,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,ja,ko,r1,0.09375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,ja,ko,mrr,0.1654699569289844,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,ja,zh,r1,0.525390625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,ja,zh,mrr,0.6476299773547115,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,zh,en,r1,0.291015625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,zh,en,mrr,0.49271704422929075,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,zh,ko,r1,0.216796875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,zh,ko,mrr,0.3346618433277679,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,zh,ja,r1,0.013671875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,normal,,zh,ja,mrr,0.13058264614029036,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,mean,normal,,en,ko,r1,0.33984375,1024,2048,metric,,,,
