model,language,n,mean_characters,median_characters,mean_bytes,median_bytes,mean_tokens,median_tokens,mean_tokens_per_100_characters,median_tokens_per_100_characters,mean_bytes_per_token,median_bytes_per_token,mean_characters_per_token,median_characters_per_token,mean_token_ratio_to_en,median_token_ratio_to_en
trillionlabs/Tri-0.5B-Base,en,512,129.3828125,123.0,129.505859375,123.5,26.041015625,25.0,20.325861492442534,20.0,5.016312843608544,5.0,5.012552692785976,5.0,1.0,1.0
trillionlabs/Tri-0.5B-Base,ko,512,65.193359375,60.5,155.59765625,148.0,26.998046875,26.0,41.514730113154656,41.30434782608695,5.872381654788131,5.852813852813853,2.4437825332790712,2.4210526315789473,1.0442730439789405,1.0303308823529411
trillionlabs/Tri-0.5B-Base,ja,512,56.58203125,54.0,166.005859375,158.0,30.82421875,29.0,54.65538261053843,54.487917146144994,5.468212102807354,5.421798631476051,1.8628222232572975,1.8352713178294573,1.1958279477196454,1.1666666666666667
trillionlabs/Tri-0.5B-Base,zh,512,42.701171875,39.0,119.07421875,111.0,30.0703125,27.0,71.21844148203394,70.32032032032032,4.046417746561845,3.9649014778325125,1.4346988678425445,1.4220647773279351,1.1594517376281388,1.1206060606060606
Qwen/Qwen2.5-0.5B,en,512,129.3828125,123.0,129.505859375,123.5,27.365234375,26.0,21.376297522421645,20.767556631824174,4.811030375980076,4.815209665955935,4.8075062786893366,4.815209665955935,1.0,1.0
Qwen/Qwen2.5-0.5B,ko,512,65.193359375,60.5,155.59765625,148.0,44.46875,42.0,68.56977603507706,68.38774150566289,3.540485645921517,3.5161290322580645,1.4768470216858285,1.4622507122507122,1.6491518116922612,1.6
Qwen/Qwen2.5-0.5B,ja,512,56.58203125,54.0,166.005859375,158.0,38.5390625,36.5,68.30065684246789,68.44476055002372,4.3640974914299395,4.32,1.485882720157361,1.4610323886639676,1.431986811983983,1.3888888888888888
Qwen/Qwen2.5-0.5B,zh,512,42.701171875,39.0,119.07421875,111.0,27.37109375,25.0,64.22013048585794,64.05128205128204,4.497060242317306,4.534108527131783,1.5843020369380207,1.56125,1.0002393373504062,0.9655172413793104
