model,layer,normalized_depth,pooling,condition,status,metric,value,n_train,n_eval,directions
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,raw,ok,mrr,0.052367584937304985,256,512,12
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,centered,ok,mrr,0.08056674541827902,256,512,12
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,centered_delta,ok,mrr,0.02819916048097403,256,512,12
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,aligned,ok,mrr,0.05987398464561488,256,512,12
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,delta,ok,mrr,0.0075063997083098894,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,raw,ok,r1,0.031901041666666664,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,centered,ok,r1,0.060221354166666664,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,centered_delta,ok,r1,0.0283203125,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,aligned,ok,r1,0.02978515625,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,delta,ok,r1,-0.0021158854166666665,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,raw,ok,r5,0.08317057291666667,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,centered,ok,r5,0.13248697916666666,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,centered_delta,ok,r5,0.04931640625,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,aligned,ok,r5,0.09016927083333333,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,delta,ok,r5,0.006998697916666667,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,raw,ok,r10,0.12320963541666667,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,centered,ok,r10,0.17952473958333334,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,centered_delta,ok,r10,0.056315104166666664,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,aligned,ok,r10,0.13688151041666666,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,delta,ok,r10,0.013671875,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,raw,ok,mrr,0.0666601365630647,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,centered,ok,mrr,0.10358529900501888,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,centered_delta,ok,mrr,0.036925162441954186,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,aligned,ok,mrr,0.06923914457603121,256,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,last_token,delta,ok,mrr,0.002579008012966502,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,raw,ok,r1,0.0341796875,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,centered,ok,r1,0.06526692708333333,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,centered_delta,ok,r1,0.031087239583333332,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,aligned,ok,r1,0.033528645833333336,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,delta,ok,r1,-0.0006510416666666666,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,raw,ok,r5,0.07991536458333333,256,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,last_token,centered,ok,r5,0.13297526041666666,256,512,12
