model,pooling,best_layer,best_average_r1,final_layer,final_average_r1,mean_procrustes_delta_r1,final_language_probe_accuracy
Qwen/Qwen2.5-0.5B,last_token,15,0.7718098958333334,24,0.028971354166666668,0.095078125,0.99951171875
trillionlabs/Tri-0.5B-Base,last_token,20,0.6897786458333334,24,0.23567708333333334,0.00703125,0.99951171875
