model,layer,normalized_depth,pooling,condition,metric,value,n,directions
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,raw,r10,0.84033203125,512,12
trillionlabs/Tri-0.5B-Base,15,0.625,last_token,raw,mrr,0.7044152913461826,512,12
trillionlabs/Tri-0.5B-Base,16,0.6666666666666666,last_token,raw,r1,0.6643880208333334,512,12
trillionlabs/Tri-0.5B-Base,16,0.6666666666666666,last_token,raw,r5,0.8201497395833334,512,12
trillionlabs/Tri-0.5B-Base,16,0.6666666666666666,last_token,raw,r10,0.8644205729166666,512,12
trillionlabs/Tri-0.5B-Base,16,0.6666666666666666,last_token,raw,mrr,0.7357098776213497,512,12
trillionlabs/Tri-0.5B-Base,17,0.7083333333333334,last_token,raw,r1,0.599609375,512,12
trillionlabs/Tri-0.5B-Base,17,0.7083333333333334,last_token,raw,r5,0.7859700520833334,512,12
trillionlabs/Tri-0.5B-Base,17,0.7083333333333334,last_token,raw,r10,0.8359375,512,12
trillionlabs/Tri-0.5B-Base,17,0.7083333333333334,last_token,raw,mrr,0.6834917029179238,512,12
trillionlabs/Tri-0.5B-Base,18,0.75,last_token,raw,r1,0.5465494791666666,512,12
trillionlabs/Tri-0.5B-Base,18,0.75,last_token,raw,r5,0.7477213541666666,512,12
trillionlabs/Tri-0.5B-Base,18,0.75,last_token,raw,r10,0.8059895833333334,512,12
trillionlabs/Tri-0.5B-Base,18,0.75,last_token,raw,mrr,0.6386051815152899,512,12
trillionlabs/Tri-0.5B-Base,19,0.7916666666666666,last_token,raw,r1,0.5760091145833334,512,12
trillionlabs/Tri-0.5B-Base,19,0.7916666666666666,last_token,raw,r5,0.7747395833333334,512,12
trillionlabs/Tri-0.5B-Base,19,0.7916666666666666,last_token,raw,r10,0.8251953125,512,12
trillionlabs/Tri-0.5B-Base,19,0.7916666666666666,last_token,raw,mrr,0.6657173480110613,512,12
trillionlabs/Tri-0.5B-Base,20,0.8333333333333334,last_token,raw,r1,0.6863606770833334,512,12
trillionlabs/Tri-0.5B-Base,20,0.8333333333333334,last_token,raw,r5,0.84326171875,512,12
trillionlabs/Tri-0.5B-Base,20,0.8333333333333334,last_token,raw,r10,0.8751627604166666,512,12
trillionlabs/Tri-0.5B-Base,20,0.8333333333333334,last_token,raw,mrr,0.7570419727721016,512,12
trillionlabs/Tri-0.5B-Base,21,0.875,last_token,raw,r1,0.64599609375,512,12
trillionlabs/Tri-0.5B-Base,21,0.875,last_token,raw,r5,0.8274739583333334,512,12
trillionlabs/Tri-0.5B-Base,21,0.875,last_token,raw,r10,0.8701171875,512,12
trillionlabs/Tri-0.5B-Base,21,0.875,last_token,raw,mrr,0.7272868830056519,512,12
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,raw,r1,0.6458333333333334,512,12
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,raw,r5,0.8338216145833334,512,12
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,raw,r10,0.8805338541666666,512,12
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,raw,mrr,0.7310714317696259,512,12
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,raw,r1,0.4659830729166667,512,12
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,raw,r5,0.6961263020833334,512,12
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,raw,r10,0.77392578125,512,12
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,raw,mrr,0.5743650598261798,512,12
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,raw,r1,0.232421875,512,12
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,raw,r5,0.45263671875,512,12
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,raw,r10,0.5423177083333334,512,12
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,raw,mrr,0.3390958050607234,512,12
trillionlabs/Tri-0.5B-Base,0,0.0,mean,raw,r1,0.6295572916666666,512,12
trillionlabs/Tri-0.5B-Base,0,0.0,mean,raw,r5,0.8165690104166666,512,12
trillionlabs/Tri-0.5B-Base,0,0.0,mean,raw,r10,0.8782552083333334,512,12
trillionlabs/Tri-0.5B-Base,0,0.0,mean,raw,mrr,0.7146486745704125,512,12
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,mean,raw,r1,0.4373372395833333,512,12
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,mean,raw,r5,0.6038411458333334,512,12
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,mean,raw,r10,0.6622721354166666,512,12
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,mean,raw,mrr,0.5174081622248357,512,12
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,mean,raw,r1,0.4716796875,512,12
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,mean,raw,r5,0.6442057291666666,512,12
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,mean,raw,r10,0.71044921875,512,12
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,mean,raw,mrr,0.5549014039109473,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,mean,raw,r1,0.5154622395833334,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,mean,raw,r5,0.6881510416666666,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,mean,raw,r10,0.7498372395833334,512,12
trillionlabs/Tri-0.5B-Base,3,0.125,mean,raw,mrr,0.596752539925922,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,mean,raw,r1,0.6396484375,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,mean,raw,r5,0.79345703125,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,mean,raw,r10,0.8406575520833334,512,12
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,mean,raw,mrr,0.7111217137112577,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,mean,raw,r1,0.6863606770833334,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,mean,raw,r5,0.8313802083333334,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,mean,raw,r10,0.8701171875,512,12
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,mean,raw,mrr,0.7521810963645034,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,mean,raw,r1,0.7672526041666666,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,mean,raw,r5,0.88232421875,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,mean,raw,r10,0.9158528645833334,512,12
trillionlabs/Tri-0.5B-Base,6,0.25,mean,raw,mrr,0.8207345272869412,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,mean,raw,r1,0.2908528645833333,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,mean,raw,r5,0.4117838541666667,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,mean,raw,r10,0.4656575520833333,512,12
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,mean,raw,mrr,0.3530689581383944,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,mean,raw,r1,0.3095703125,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,mean,raw,r5,0.4283854166666667,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,mean,raw,r10,0.4814453125,512,12
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,mean,raw,mrr,0.37028493937631907,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,mean,raw,r1,0.3225911458333333,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,mean,raw,r5,0.4462890625,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,mean,raw,r10,0.4947916666666667,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,mean,raw,mrr,0.3847481271422124,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,mean,raw,r1,0.3505859375,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,mean,raw,r5,0.4689127604166667,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,mean,raw,r10,0.5183919270833334,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,mean,raw,mrr,0.41086667397568677,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,mean,raw,r1,0.3587239583333333,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,mean,raw,r5,0.47802734375,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,mean,raw,r10,0.5275065104166666,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,mean,raw,mrr,0.41957841118119715,512,12
trillionlabs/Tri-0.5B-Base,12,0.5,mean,raw,r1,0.3776041666666667,512,12
trillionlabs/Tri-0.5B-Base,12,0.5,mean,raw,r5,0.49609375,512,12
trillionlabs/Tri-0.5B-Base,12,0.5,mean,raw,r10,0.5455729166666666,512,12
trillionlabs/Tri-0.5B-Base,12,0.5,mean,raw,mrr,0.43771145946103873,512,12
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,mean,raw,r1,0.4147135416666667,512,12
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,mean,raw,r5,0.5255533854166666,512,12
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,mean,raw,r10,0.5709635416666666,512,12
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,mean,raw,mrr,0.4713088528785258,512,12
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,mean,raw,r1,0.4261067708333333,512,12
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,mean,raw,r5,0.5379231770833334,512,12
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,mean,raw,r10,0.5810546875,512,12
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,mean,raw,mrr,0.4816209099190298,512,12
trillionlabs/Tri-0.5B-Base,15,0.625,mean,raw,r1,0.45263671875,512,12
trillionlabs/Tri-0.5B-Base,15,0.625,mean,raw,r5,0.5633138020833334,512,12
trillionlabs/Tri-0.5B-Base,15,0.625,mean,raw,r10,0.6015625,512,12
trillionlabs/Tri-0.5B-Base,15,0.625,mean,raw,mrr,0.5069879953390485,512,12
trillionlabs/Tri-0.5B-Base,16,0.6666666666666666,mean,raw,r1,0.4879557291666667,512,12
trillionlabs/Tri-0.5B-Base,16,0.6666666666666666,mean,raw,r5,0.59716796875,512,12
trillionlabs/Tri-0.5B-Base,16,0.6666666666666666,mean,raw,r10,0.6375325520833334,512,12
trillionlabs/Tri-0.5B-Base,16,0.6666666666666666,mean,raw,mrr,0.5421236670171689,512,12
trillionlabs/Tri-0.5B-Base,17,0.7083333333333334,mean,raw,r1,0.4847005208333333,512,12
trillionlabs/Tri-0.5B-Base,17,0.7083333333333334,mean,raw,r5,0.5924479166666666,512,12
trillionlabs/Tri-0.5B-Base,17,0.7083333333333334,mean,raw,r10,0.6339518229166666,512,12
trillionlabs/Tri-0.5B-Base,17,0.7083333333333334,mean,raw,mrr,0.5379007234903247,512,12
trillionlabs/Tri-0.5B-Base,18,0.75,mean,raw,r1,0.4803059895833333,512,12
trillionlabs/Tri-0.5B-Base,18,0.75,mean,raw,r5,0.5859375,512,12
trillionlabs/Tri-0.5B-Base,18,0.75,mean,raw,r10,0.6282552083333334,512,12
trillionlabs/Tri-0.5B-Base,18,0.75,mean,raw,mrr,0.5334681910510303,512,12
trillionlabs/Tri-0.5B-Base,19,0.7916666666666666,mean,raw,r1,0.4583333333333333,512,12
trillionlabs/Tri-0.5B-Base,19,0.7916666666666666,mean,raw,r5,0.5636393229166666,512,12
trillionlabs/Tri-0.5B-Base,19,0.7916666666666666,mean,raw,r10,0.60888671875,512,12
trillionlabs/Tri-0.5B-Base,19,0.7916666666666666,mean,raw,mrr,0.5116609976582689,512,12
trillionlabs/Tri-0.5B-Base,20,0.8333333333333334,mean,raw,r1,0.4869791666666667,512,12
trillionlabs/Tri-0.5B-Base,20,0.8333333333333334,mean,raw,r5,0.59130859375,512,12
trillionlabs/Tri-0.5B-Base,20,0.8333333333333334,mean,raw,r10,0.6287434895833334,512,12
trillionlabs/Tri-0.5B-Base,20,0.8333333333333334,mean,raw,mrr,0.538667199818006,512,12
trillionlabs/Tri-0.5B-Base,21,0.875,mean,raw,r1,0.4104817708333333,512,12
trillionlabs/Tri-0.5B-Base,21,0.875,mean,raw,r5,0.5384114583333334,512,12
trillionlabs/Tri-0.5B-Base,21,0.875,mean,raw,r10,0.57373046875,512,12
trillionlabs/Tri-0.5B-Base,21,0.875,mean,raw,mrr,0.47294134662606496,512,12
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,mean,raw,r1,0.3170572916666667,512,12
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,mean,raw,r5,0.4651692708333333,512,12
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,mean,raw,r10,0.5206705729166666,512,12
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,mean,raw,mrr,0.38997658872392593,512,12
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,raw,r1,0.14339192708333334,512,12
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,raw,r5,0.23779296875,512,12
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,raw,r10,0.2985026041666667,512,12
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,raw,mrr,0.19878197293868796,512,12
trillionlabs/Tri-0.5B-Base,24,1.0,mean,raw,r1,0.12418619791666667,512,12
trillionlabs/Tri-0.5B-Base,24,1.0,mean,raw,r5,0.3776041666666667,512,12
trillionlabs/Tri-0.5B-Base,24,1.0,mean,raw,r10,0.5179036458333334,512,12
trillionlabs/Tri-0.5B-Base,24,1.0,mean,raw,mrr,0.2488055338705751,512,12
Qwen/Qwen2.5-0.5B,0,0.0,last_token,raw,r1,0.0030924479166666665,512,12
Qwen/Qwen2.5-0.5B,0,0.0,last_token,raw,r5,0.012369791666666666,512,12
Qwen/Qwen2.5-0.5B,0,0.0,last_token,raw,r10,0.02197265625,512,12
Qwen/Qwen2.5-0.5B,0,0.0,last_token,raw,mrr,0.014591073861583556,512,12
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,raw,r1,0.016764322916666668,512,12
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,raw,r5,0.048828125,512,12
