model,layer,normalized_depth,pooling,source_language,target_language,condition,metric,value,n
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,en,raw,r10,0.08984375,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,en,raw,mrr,0.053087850381531215,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,ja,raw,r1,0.00390625,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,ja,raw,r5,0.015625,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,ja,raw,r10,0.02734375,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,ja,raw,mrr,0.01806456409939626,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,zh,raw,r1,0.00390625,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,zh,raw,r5,0.0234375,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,zh,raw,r10,0.0390625,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,zh,raw,mrr,0.02268912504640582,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,en,raw,r1,0.001953125,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,en,raw,r5,0.01953125,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,en,raw,r10,0.03125,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,en,raw,mrr,0.018050597875744128,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,ko,raw,r1,0.0,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,ko,raw,r5,0.0078125,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,ko,raw,r10,0.025390625,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,ko,raw,mrr,0.013740255186517438,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,zh,raw,r1,0.0234375,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,zh,raw,r5,0.0625,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,zh,raw,r10,0.083984375,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,zh,raw,mrr,0.051263324242559,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,en,raw,r1,0.0078125,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,en,raw,r5,0.041015625,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,en,raw,r10,0.072265625,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,en,raw,mrr,0.03248222766582047,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,ko,raw,r1,0.009765625,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,ko,raw,r5,0.021484375,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,ko,raw,r10,0.037109375,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,ko,raw,mrr,0.025072171511382607,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,ja,raw,r1,0.0234375,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,ja,raw,r5,0.091796875,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,ja,raw,r10,0.103515625,512
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,ja,raw,mrr,0.060578500192829746,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,en,ko,raw,r1,0.04296875,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,en,ko,raw,r5,0.080078125,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,en,ko,raw,r10,0.123046875,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,en,ko,raw,mrr,0.07305431771432919,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,en,ja,raw,r1,0.013671875,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,en,ja,raw,r5,0.03125,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,en,ja,raw,r10,0.046875,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,en,ja,raw,mrr,0.028919603210183074,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,en,zh,raw,r1,0.029296875,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,en,zh,raw,r5,0.0625,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,en,zh,raw,r10,0.095703125,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,en,zh,raw,mrr,0.05667234953175365,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ko,en,raw,r1,0.0390625,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ko,en,raw,r5,0.123046875,512
trillionlabs/Tri-0.5B-Base,2,0.08333333333333333,last_token,ko,en,raw,r10,0.1484375,512
