model,layer,normalized_depth,pooling,language,source_language,target_language,n,metric,value
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ko,,,512,within_language_cosine,0.9122473908963735
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ko,,,512,stable_rank,2.2285037851023533
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ja,,,512,centroid_norm,0.9942165017127991
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ja,,,512,within_language_cosine,0.9884439307882827
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ja,,,512,stable_rank,2.3879824227974042
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,zh,,,512,centroid_norm,0.9709091782569885
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,zh,,,512,within_language_cosine,0.9425524806789689
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,zh,,,512,stable_rank,3.490928758535231
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,en,ko,512,matched_cosine,0.9253032803535461
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,en,ko,512,unmatched_cosine,0.8983684182167053
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,en,ko,512,cosine_margin,0.02693486213684082
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,en,ja,512,matched_cosine,0.8171480894088745
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,en,ja,512,unmatched_cosine,0.8113980293273926
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,en,ja,512,cosine_margin,0.005750060081481934
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,en,zh,512,matched_cosine,0.8382428884506226
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,en,zh,512,unmatched_cosine,0.808225154876709
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,en,zh,512,cosine_margin,0.030017733573913574
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ko,en,512,matched_cosine,0.9253032803535461
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ko,en,512,unmatched_cosine,0.8961328268051147
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,,ko,en,512,cosine_margin,0.029170453548431396
