model,block_layer,stage,pooling,condition,source_language,target_language,metric,value,k,n_train,n_eval
Qwen/Qwen2.5-0.5B,22,input,last_token,per-language-centered,zh,en,mrr,0.93599545334208,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,per-language-centered,zh,ko,r1,0.69140625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,per-language-centered,zh,ko,mrr,0.7723022482586231,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,per-language-centered,zh,ja,r1,0.896484375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,per-language-centered,zh,ja,mrr,0.9368350074404763,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,,,language_probe_accuracy,1.0,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,last_token,raw,,,language_probe_macro_f1,1.0,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,geometry,,,centroid_separation,32.85160446166992,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,geometry,,,centroid_norm,74.70924377441406,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,geometry,,,language_subspace_variance_fraction,0.5818386842430889,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,geometry,,,language_subspace_centroid_variance,1.0,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,geometry,,,anisotropy,0.9235610066094744,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,geometry,,,stable_rank,1.7054035611181446,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,en,ko,r1,0.01171875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,en,ko,mrr,0.036722746013030834,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,en,ja,r1,0.01953125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,en,ja,mrr,0.05295744372277508,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,en,zh,r1,0.802734375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,en,zh,mrr,0.8480224026710892,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,ko,en,r1,0.361328125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,ko,en,mrr,0.46858703985544203,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,ko,ja,r1,0.3515625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,ko,ja,mrr,0.4853030552815636,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,ko,zh,r1,0.357421875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,ko,zh,mrr,0.4701258787116982,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,ja,en,r1,0.6484375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,ja,en,mrr,0.7384451637836433,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,ja,ko,r1,0.458984375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,ja,ko,mrr,0.5408772435136313,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,ja,zh,r1,0.685546875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,ja,zh,mrr,0.7610800819200214,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,zh,en,r1,0.84375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,zh,en,mrr,0.8791839472094236,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,zh,ko,r1,0.0390625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,zh,ko,mrr,0.0730462633787797,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,zh,ja,r1,0.052734375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,zh,ja,mrr,0.09757354887816869,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,en,ko,r1,0.583984375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,en,ko,mrr,0.6398842394419935,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,en,ja,r1,0.638671875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,en,ja,mrr,0.692646278923214,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,en,zh,r1,0.802734375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,en,zh,mrr,0.8306554228820644,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,ko,en,r1,0.6328125,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,ko,en,mrr,0.6865987694191052,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,ko,ja,r1,0.7421875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,ko,ja,mrr,0.7783655757678192,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,ko,zh,r1,0.619140625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,ko,zh,mrr,0.6744959302386908,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,ja,en,r1,0.630859375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,ja,en,mrr,0.6774452034165209,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,ja,ko,r1,0.708984375,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,ja,ko,mrr,0.7513494451888506,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,ja,zh,r1,0.701171875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,ja,zh,mrr,0.7454119249226779,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,zh,en,r1,0.712890625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,zh,en,mrr,0.7563520857588036,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,zh,ko,r1,0.498046875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,zh,ko,mrr,0.5637957949333072,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,zh,ja,r1,0.619140625,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,per-language-centered,zh,ja,mrr,0.6709131120872812,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,,,language_probe_accuracy,0.99951171875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,input,mean,raw,,,language_probe_macro_f1,0.9995117182843383,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,geometry,,,centroid_separation,37.80691146850586,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,geometry,,,centroid_norm,75.64129638671875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,geometry,,,language_subspace_variance_fraction,0.471960358799788,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,geometry,,,language_subspace_centroid_variance,0.9999999999999999,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,geometry,,,anisotropy,0.9020287649972097,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,geometry,,,stable_rank,4.02086109135816,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,en,ko,r1,0.560546875,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,en,ko,mrr,0.6799383635752078,3,1024,2048
Qwen/Qwen2.5-0.5B,22,output,last_token,raw,en,ja,r1,0.693359375,3,1024,2048
