model,pooling,layer,target_language,metric,retrieval_raw,retrieval_centered,retrieval_gain,transfer_raw,transfer_centered,transfer_gain,pearson_r,spearman_r
Qwen/Qwen2.5-0.5B,last_token,0,ja,accuracy,0.0,0.0,0.0,0.06466666666666666,0.06866666666666667,0.0040000000000000036,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,last_token,0,ko,accuracy,0.00390625,0.00390625,0.0,0.037333333333333336,0.04933333333333333,0.011999999999999997,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,last_token,0,zh,accuracy,0.0032552083333333335,0.003841145833333333,0.0005859374999999997,0.244,0.25133333333333335,0.007333333333333358,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,last_token,12,ja,accuracy,0.7115885416666666,0.7623046875,0.05071614583333339,0.288,0.2946666666666667,0.00666666666666671,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,last_token,12,ko,accuracy,0.6868489583333334,0.6972005208333333,0.010351562499999911,0.212,0.214,0.0020000000000000018,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,last_token,12,zh,accuracy,0.6171875,0.6417317708333333,0.024544270833333326,0.5913333333333334,0.5973333333333334,0.006000000000000005,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,last_token,15,ja,accuracy,0.798828125,0.8313802083333334,0.03255208333333337,0.3333333333333333,0.37733333333333335,0.04400000000000004,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,last_token,15,ko,accuracy,0.7545572916666666,0.7688151041666667,0.014257812500000022,0.244,0.30866666666666664,0.06466666666666665,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,last_token,15,zh,accuracy,0.7447916666666666,0.7631510416666667,0.018359375000000067,0.6586666666666666,0.66,0.0013333333333334085,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,last_token,24,ja,accuracy,0.06315104166666667,0.3155598958333333,0.25240885416666664,0.20333333333333334,0.302,0.09866666666666665,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,last_token,24,ko,accuracy,0.0032552083333333335,0.137109375,0.13385416666666666,0.216,0.23,0.014000000000000012,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,last_token,24,zh,accuracy,0.027994791666666668,0.21197916666666666,0.183984375,0.5526666666666666,0.6453333333333333,0.09266666666666667,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,mean,0,ja,accuracy,0.16731770833333334,0.4069010416666667,0.23958333333333334,0.23333333333333334,0.37466666666666665,0.1413333333333333,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,mean,0,ko,accuracy,0.10872395833333333,0.21178385416666667,0.10305989583333335,0.106,0.18666666666666668,0.08066666666666668,0.6821742924841065,0.7625054371465855
Qwen/Qwen2.5-0.5B,mean,0,zh,accuracy,0.15885416666666666,0.44140625,0.28255208333333337,0.55,0.592,0.041999999999999926,0.6821742924841065,0.7625054371465855
