model,layer,normalized_depth,pooling,source_language,target_language,condition,metric,value,n
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,zh,raw,r1,0.033203125,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,zh,raw,r5,0.0859375,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,zh,raw,r10,0.1171875,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,zh,raw,mrr,0.06685344424556197,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ko,en,raw,r1,0.017578125,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ko,en,raw,r5,0.060546875,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ko,en,raw,r10,0.087890625,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ko,en,raw,mrr,0.04566559819447209,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ko,ja,raw,r1,0.0078125,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ko,ja,raw,r5,0.03125,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ko,ja,raw,r10,0.0546875,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ko,ja,raw,mrr,0.029200628810441023,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ko,zh,raw,r1,0.009765625,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ko,zh,raw,r5,0.0390625,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ko,zh,raw,r10,0.060546875,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ko,zh,raw,mrr,0.03560862845823648,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ja,en,raw,r1,0.005859375,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,ja,en,raw,r5,0.021484375,512
