model,layer,normalized_depth,pooling,condition,seed,source_language,target_language,metric,value,n_train,n_eval,record_type,comparison,ci_lower,ci_upper,n_resamples
Qwen/Qwen2.5-0.5B,23,0.9583333333333334,last_token,normal,,zh,ja,mrr,0.7683955817491437,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,en,ko,r1,0.00390625,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,en,ko,mrr,0.03665829019571684,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,en,ja,r1,0.029296875,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,en,ja,mrr,0.07597735550845935,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,en,zh,r1,0.00390625,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,en,zh,mrr,0.043598689584160015,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,ko,en,r1,0.005859375,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,ko,en,mrr,0.057881120576703915,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,ko,ja,r1,0.021484375,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,ko,ja,mrr,0.061712274011326805,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,ko,zh,r1,0.009765625,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,ko,zh,mrr,0.040295488657775325,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,ja,en,r1,0.001953125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,ja,en,mrr,0.04577168986320759,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,ja,ko,r1,0.001953125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,ja,ko,mrr,0.04748493923331133,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,ja,zh,r1,0.0703125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,ja,zh,mrr,0.15530407045940886,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,zh,en,r1,0.017578125,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,zh,en,mrr,0.09618382133483952,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,zh,ko,r1,0.00390625,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,zh,ko,mrr,0.08726857002188787,1024,2048,metric,,,,
Qwen/Qwen2.5-0.5B,24,1.0,last_token,normal,,zh,ja,r1,0.138671875,1024,2048,metric,,,,
