model,layer,normalized_depth,pooling,source_language,target_language,metric,n_train,n_eval,condition,status,value
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,zh,mrr,256,512,aligned,ok,0.014429814152895452
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,zh,mrr,256,512,delta,ok,-0.005467055570365337
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,en,r1,256,512,raw,ok,0.009765625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,en,r1,256,512,aligned,ok,0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,en,r1,256,512,delta,ok,-0.0078125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,en,r5,256,512,raw,ok,0.017578125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,en,r5,256,512,aligned,ok,0.01171875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,en,r5,256,512,delta,ok,-0.005859375
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,en,r10,256,512,raw,ok,0.041015625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,en,r10,256,512,aligned,ok,0.029296875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,en,r10,256,512,delta,ok,-0.01171875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,en,mrr,256,512,raw,ok,0.02112778524862627
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,en,mrr,256,512,aligned,ok,0.014416551538808154
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,zh,en,mrr,256,512,delta,ok,-0.0067112337098181145
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,ja,r1,256,512,raw,ok,0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,ja,r1,256,512,aligned,ok,0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,ja,r1,256,512,delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,ja,r5,256,512,raw,ok,0.009765625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,ja,r5,256,512,aligned,ok,0.009765625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,ja,r5,256,512,delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,ja,r10,256,512,raw,ok,0.009765625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,ja,r10,256,512,aligned,ok,0.009765625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,ja,r10,256,512,delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,ja,mrr,256,512,raw,ok,0.009352532642148003
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,ja,mrr,256,512,aligned,ok,0.009721722931442906
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,ja,mrr,256,512,delta,ok,0.0003691902892949024
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,ko,r1,256,512,raw,ok,0.0
