model,layer,normalized_depth,pooling,n_train,n_eval,n_classes,metric,value
trillionlabs/Tri-0.5B-Base,4,0.16666666666666666,mean,1024,2048,4,macro_f1,1.0
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,mean,1024,2048,4,accuracy,0.99951171875
trillionlabs/Tri-0.5B-Base,5,0.20833333333333334,mean,1024,2048,4,macro_f1,0.9995117182843383
trillionlabs/Tri-0.5B-Base,6,0.25,mean,1024,2048,4,accuracy,0.99951171875
trillionlabs/Tri-0.5B-Base,6,0.25,mean,1024,2048,4,macro_f1,0.9995117182843383
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,mean,1024,2048,4,accuracy,0.9990234375
trillionlabs/Tri-0.5B-Base,7,0.2916666666666667,mean,1024,2048,4,macro_f1,0.9990229583313446
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,mean,1024,2048,4,accuracy,0.99755859375
trillionlabs/Tri-0.5B-Base,8,0.3333333333333333,mean,1024,2048,4,macro_f1,0.9975581062130227
trillionlabs/Tri-0.5B-Base,9,0.375,mean,1024,2048,4,accuracy,0.9990234375
trillionlabs/Tri-0.5B-Base,9,0.375,mean,1024,2048,4,macro_f1,0.9990239120120274
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,mean,1024,2048,4,accuracy,0.99755859375
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,mean,1024,2048,4,macro_f1,0.9975571440956927
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,mean,1024,2048,4,accuracy,0.9990234375
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,mean,1024,2048,4,macro_f1,0.9990234375
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,accuracy,0.99853515625
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,macro_f1,0.9985351525246955
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,mean,1024,2048,4,accuracy,0.99951171875
trillionlabs/Tri-0.5B-Base,13,0.5416666666666666,mean,1024,2048,4,macro_f1,0.9995117182843383
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,mean,1024,2048,4,accuracy,0.99951171875
trillionlabs/Tri-0.5B-Base,14,0.5833333333333334,mean,1024,2048,4,macro_f1,0.9995117182843383
trillionlabs/Tri-0.5B-Base,15,0.625,mean,1024,2048,4,accuracy,1.0
trillionlabs/Tri-0.5B-Base,15,0.625,mean,1024,2048,4,macro_f1,1.0
trillionlabs/Tri-0.5B-Base,16,0.6666666666666666,mean,1024,2048,4,accuracy,1.0
trillionlabs/Tri-0.5B-Base,16,0.6666666666666666,mean,1024,2048,4,macro_f1,1.0
trillionlabs/Tri-0.5B-Base,17,0.7083333333333334,mean,1024,2048,4,accuracy,1.0
trillionlabs/Tri-0.5B-Base,17,0.7083333333333334,mean,1024,2048,4,macro_f1,1.0
trillionlabs/Tri-0.5B-Base,18,0.75,mean,1024,2048,4,accuracy,1.0
trillionlabs/Tri-0.5B-Base,18,0.75,mean,1024,2048,4,macro_f1,1.0
trillionlabs/Tri-0.5B-Base,19,0.7916666666666666,mean,1024,2048,4,accuracy,1.0
trillionlabs/Tri-0.5B-Base,19,0.7916666666666666,mean,1024,2048,4,macro_f1,1.0
trillionlabs/Tri-0.5B-Base,20,0.8333333333333334,mean,1024,2048,4,accuracy,1.0
trillionlabs/Tri-0.5B-Base,20,0.8333333333333334,mean,1024,2048,4,macro_f1,1.0
trillionlabs/Tri-0.5B-Base,21,0.875,mean,1024,2048,4,accuracy,1.0
trillionlabs/Tri-0.5B-Base,21,0.875,mean,1024,2048,4,macro_f1,1.0
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,mean,1024,2048,4,accuracy,1.0
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,mean,1024,2048,4,macro_f1,1.0
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,1024,2048,4,accuracy,1.0
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,mean,1024,2048,4,macro_f1,1.0
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,accuracy,1.0
trillionlabs/Tri-0.5B-Base,24,1.0,mean,1024,2048,4,macro_f1,1.0
