model,block_layer,stage,pooling,condition,source_language,target_language,metric,value,k,n_train,n_eval
trillionlabs/Tri-0.5B-Base,7,input,last_token,per-language-centered,zh,en,mrr,0.36009093590789154,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,per-language-centered,zh,ko,r1,0.134765625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,per-language-centered,zh,ko,mrr,0.19040145902527938,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,per-language-centered,zh,ja,r1,0.162109375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,per-language-centered,zh,ja,mrr,0.22003395031377354,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,,,language_probe_accuracy,0.99755859375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,last_token,raw,,,language_probe_macro_f1,0.9975585634815611,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,geometry,,,centroid_separation,130.6011199951172,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,geometry,,,centroid_norm,519.6966552734375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,geometry,,,language_subspace_variance_fraction,0.25138541738670395,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,geometry,,,language_subspace_centroid_variance,1.0,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,geometry,,,anisotropy,0.9342449210627906,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,geometry,,,stable_rank,8.396112550409482,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,en,ko,r1,0.705078125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,en,ko,mrr,0.7633724655891975,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,en,ja,r1,0.62890625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,en,ja,mrr,0.7113172827926959,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,en,zh,r1,0.640625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,en,zh,mrr,0.7037827761187136,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,ko,en,r1,0.91015625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,ko,en,mrr,0.9388765062684308,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,ko,ja,r1,0.84375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,ko,ja,mrr,0.881231364110814,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,ko,zh,r1,0.6328125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,ko,zh,mrr,0.7085044693744299,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,ja,en,r1,0.810546875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,ja,en,mrr,0.8637677371115846,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,ja,ko,r1,0.8203125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,ja,ko,mrr,0.8681573525321533,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,ja,zh,r1,0.79296875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,ja,zh,mrr,0.8504888118733084,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,zh,en,r1,0.892578125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,zh,en,mrr,0.9241272490348856,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,zh,ko,r1,0.71875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,zh,ko,mrr,0.7809630298829939,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,zh,ja,r1,0.810546875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,zh,ja,mrr,0.8542252827540858,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,en,ko,r1,0.98046875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,en,ko,mrr,0.9884612438725491,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,en,ja,r1,0.9765625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,en,ja,mrr,0.9865559895833333,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,en,zh,r1,0.974609375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,en,zh,mrr,0.98486328125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,ko,en,r1,0.984375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,ko,en,mrr,0.9902491714015151,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,ko,ja,r1,0.966796875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,ko,ja,mrr,0.9791292283298098,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,ko,zh,r1,0.931640625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,ko,zh,mrr,0.9566820821299022,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,ja,en,r1,0.966796875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,ja,en,mrr,0.9802052331349207,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,ja,ko,r1,0.96484375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,ja,ko,mrr,0.9787946428571428,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,ja,zh,r1,0.951171875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,ja,zh,mrr,0.9680981832837301,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,zh,en,r1,0.974609375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,zh,en,mrr,0.9846354166666667,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,zh,ko,r1,0.92578125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,zh,ko,mrr,0.9521635509672619,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,zh,ja,r1,0.951171875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,per-language-centered,zh,ja,mrr,0.967599847126002,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,,,language_probe_accuracy,0.99951171875,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,input,mean,raw,,,language_probe_macro_f1,0.9995117182843383,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,geometry,,,centroid_separation,124.23978424072266,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,geometry,,,centroid_norm,519.1972045898438,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,geometry,,,language_subspace_variance_fraction,0.2382578112625276,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,geometry,,,language_subspace_centroid_variance,0.9999999999999999,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,geometry,,,anisotropy,0.9318267762544337,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,geometry,,,stable_rank,7.34115118526136,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,en,ko,r1,0.56640625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,en,ko,mrr,0.6420261147614328,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,en,ja,r1,0.359375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,en,ja,mrr,0.4457681390349972,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,en,zh,r1,0.5234375,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,en,zh,mrr,0.6038183035139943,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,ko,en,r1,0.4765625,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,ko,en,mrr,0.5500728277266224,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,ko,ja,r1,0.330078125,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,ko,ja,mrr,0.41441408260860124,3,1024,2048
trillionlabs/Tri-0.5B-Base,7,output,last_token,raw,ko,zh,r1,0.23046875,3,1024,2048
