model,layer,normalized_depth,pooling,condition,seed,source_language,target_language,metric,value,n_train,n_eval
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,en,ko,r1,0.6796875,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,en,ko,mrr,0.7359800015464888,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,en,ja,r1,0.498046875,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,en,ja,mrr,0.5854073132781289,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,en,zh,r1,0.689453125,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,en,zh,mrr,0.7596572208326782,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,ko,en,r1,0.59765625,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,ko,en,mrr,0.6689155671892697,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,ko,ja,r1,0.48046875,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,ko,ja,mrr,0.5590137422327361,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,ko,zh,r1,0.412109375,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,ko,zh,mrr,0.5163631108830052,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,ja,en,r1,0.63671875,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,ja,en,mrr,0.7110391957037484,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,ja,ko,r1,0.587890625,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,ja,ko,mrr,0.6674291255831081,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,ja,zh,r1,0.509765625,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,ja,zh,mrr,0.5998247085412012,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,zh,en,r1,0.716796875,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,zh,en,mrr,0.7753227567642186,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,zh,ko,r1,0.486328125,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,zh,ko,mrr,0.5692608454337593,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,zh,ja,r1,0.392578125,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,zh,ja,mrr,0.48827602090556355,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,,,language_probe_accuracy,0.99560546875,1024,2048
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,normal,,,,language_probe_macro_f1,0.9956045020334798,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,en,ko,r1,0.71875,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,en,ko,mrr,0.7733771360189268,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,en,ja,r1,0.521484375,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,en,ja,mrr,0.6039598780590955,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,en,zh,r1,0.75,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,en,zh,mrr,0.8073027376333318,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,ko,en,r1,0.65625,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,ko,en,mrr,0.7128337629336301,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,ko,ja,r1,0.515625,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,ko,ja,mrr,0.5900946251949649,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,ko,zh,r1,0.537109375,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,ko,zh,mrr,0.6075873640264857,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,ja,en,r1,0.6484375,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,ja,en,mrr,0.7160140219132092,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,ja,ko,r1,0.625,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,ja,ko,mrr,0.7014188432764301,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,ja,zh,r1,0.525390625,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,ja,zh,mrr,0.6184497335659749,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,zh,en,r1,0.73828125,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,zh,en,mrr,0.798513019546323,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,zh,ko,r1,0.552734375,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,zh,ko,mrr,0.6308301592540739,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,zh,ja,r1,0.392578125,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,zh,ja,mrr,0.49953188140811183,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,,,language_probe_accuracy,0.99560546875,1024,2048
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,normal,,,,language_probe_macro_f1,0.9956054654903679,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,en,ko,r1,0.71875,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,en,ko,mrr,0.7741259428403,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,en,ja,r1,0.521484375,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,en,ja,mrr,0.6030929518499232,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,en,zh,r1,0.783203125,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,en,zh,mrr,0.8340272197303518,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,ko,en,r1,0.642578125,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,ko,en,mrr,0.7128433868868194,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,ko,ja,r1,0.515625,1024,2048
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,normal,,ko,ja,mrr,0.5885199422446352,1024,2048
