model,layer,normalized_depth,pooling,condition,train_language,test_language,metric,value,accuracy,macro_f1,english_score,transfer_gap,n_train,n_centroid_samples,n_eval,n_classes
Qwen/Qwen2.5-0.5B,15,0.625,last_token,raw,en,ja,accuracy,0.3333333333333333,0.3333333333333333,0.2444704027094324,0.736,0.4026666666666667,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,raw,en,ja,macro_f1,0.2444704027094324,0.3333333333333333,0.2444704027094324,0.6563429923857895,0.4118725896763571,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,raw,en,zh,accuracy,0.6586666666666666,0.6586666666666666,0.5877559857959997,0.736,0.07733333333333337,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,raw,en,zh,macro_f1,0.5877559857959997,0.6586666666666666,0.5877559857959997,0.6563429923857895,0.06858700658978978,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,global-centered,en,en,accuracy,0.736,0.736,0.6563429923857895,0.736,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,global-centered,en,en,macro_f1,0.6563429923857895,0.736,0.6563429923857895,0.6563429923857895,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,global-centered,en,ko,accuracy,0.244,0.244,0.15702960886597211,0.736,0.492,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,global-centered,en,ko,macro_f1,0.15702960886597211,0.244,0.15702960886597211,0.6563429923857895,0.4993133835198174,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,global-centered,en,ja,accuracy,0.3333333333333333,0.3333333333333333,0.2444704027094324,0.736,0.4026666666666667,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,global-centered,en,ja,macro_f1,0.2444704027094324,0.3333333333333333,0.2444704027094324,0.6563429923857895,0.4118725896763571,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,global-centered,en,zh,accuracy,0.6586666666666666,0.6586666666666666,0.5877559857959997,0.736,0.07733333333333337,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,global-centered,en,zh,macro_f1,0.5877559857959997,0.6586666666666666,0.5877559857959997,0.6563429923857895,0.06858700658978978,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,per-language-centered,en,en,accuracy,0.736,0.736,0.6563429923857895,0.736,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,per-language-centered,en,en,macro_f1,0.6563429923857895,0.736,0.6563429923857895,0.6563429923857895,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,per-language-centered,en,ko,accuracy,0.30866666666666664,0.30866666666666664,0.2304391810045817,0.736,0.42733333333333334,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,per-language-centered,en,ko,macro_f1,0.2304391810045817,0.30866666666666664,0.2304391810045817,0.6563429923857895,0.4259038113812078,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,per-language-centered,en,ja,accuracy,0.37733333333333335,0.37733333333333335,0.2990398640882043,0.736,0.35866666666666663,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,per-language-centered,en,ja,macro_f1,0.2990398640882043,0.37733333333333335,0.2990398640882043,0.6563429923857895,0.3573031282975852,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,per-language-centered,en,zh,accuracy,0.66,0.66,0.5856710871547917,0.736,0.07599999999999996,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,15,0.625,last_token,per-language-centered,en,zh,macro_f1,0.5856710871547917,0.66,0.5856710871547917,0.6563429923857895,0.07067190523099787,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,raw,en,en,accuracy,0.6713333333333333,0.6713333333333333,0.6199580456187734,0.6713333333333333,0.0,3000,3000,1500,60
Qwen/Qwen2.5-0.5B,12,0.5,last_token,raw,en,en,macro_f1,0.6199580456187734,0.6713333333333333,0.6199580456187734,0.6199580456187734,0.0,3000,3000,1500,60
