model,layer,normalized_depth,pooling,n_train,n_eval,n_classes,metric,value
Qwen/Qwen2.5-0.5B,5,0.20833333333333334,mean,1024,2048,4,macro_f1,0.9995117182843383
Qwen/Qwen2.5-0.5B,6,0.25,mean,1024,2048,4,accuracy,0.99951171875
Qwen/Qwen2.5-0.5B,6,0.25,mean,1024,2048,4,macro_f1,0.9995117182843383
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,mean,1024,2048,4,accuracy,1.0
Qwen/Qwen2.5-0.5B,7,0.2916666666666667,mean,1024,2048,4,macro_f1,1.0
Qwen/Qwen2.5-0.5B,8,0.3333333333333333,mean,1024,2048,4,accuracy,0.99951171875
Qwen/Qwen2.5-0.5B,8,0.3333333333333333,mean,1024,2048,4,macro_f1,0.9995117182843383
Qwen/Qwen2.5-0.5B,9,0.375,mean,1024,2048,4,accuracy,1.0
Qwen/Qwen2.5-0.5B,9,0.375,mean,1024,2048,4,macro_f1,1.0
Qwen/Qwen2.5-0.5B,10,0.4166666666666667,mean,1024,2048,4,accuracy,0.99951171875
Qwen/Qwen2.5-0.5B,10,0.4166666666666667,mean,1024,2048,4,macro_f1,0.9995117182843383
Qwen/Qwen2.5-0.5B,11,0.4583333333333333,mean,1024,2048,4,accuracy,1.0
Qwen/Qwen2.5-0.5B,11,0.4583333333333333,mean,1024,2048,4,macro_f1,1.0
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,accuracy,1.0
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,macro_f1,1.0
Qwen/Qwen2.5-0.5B,13,0.5416666666666666,mean,1024,2048,4,accuracy,1.0
Qwen/Qwen2.5-0.5B,13,0.5416666666666666,mean,1024,2048,4,macro_f1,1.0
Qwen/Qwen2.5-0.5B,14,0.5833333333333334,mean,1024,2048,4,accuracy,1.0
Qwen/Qwen2.5-0.5B,14,0.5833333333333334,mean,1024,2048,4,macro_f1,1.0
Qwen/Qwen2.5-0.5B,15,0.625,mean,1024,2048,4,accuracy,0.99951171875
Qwen/Qwen2.5-0.5B,15,0.625,mean,1024,2048,4,macro_f1,0.9995117182843383
Qwen/Qwen2.5-0.5B,16,0.6666666666666666,mean,1024,2048,4,accuracy,0.99951171875
Qwen/Qwen2.5-0.5B,16,0.6666666666666666,mean,1024,2048,4,macro_f1,0.9995117182843383
Qwen/Qwen2.5-0.5B,17,0.7083333333333334,mean,1024,2048,4,accuracy,0.99951171875
Qwen/Qwen2.5-0.5B,17,0.7083333333333334,mean,1024,2048,4,macro_f1,0.9995117182843383
Qwen/Qwen2.5-0.5B,18,0.75,mean,1024,2048,4,accuracy,0.99951171875
Qwen/Qwen2.5-0.5B,18,0.75,mean,1024,2048,4,macro_f1,0.9995117182843383
Qwen/Qwen2.5-0.5B,19,0.7916666666666666,mean,1024,2048,4,accuracy,0.99951171875
Qwen/Qwen2.5-0.5B,19,0.7916666666666666,mean,1024,2048,4,macro_f1,0.9995117182843383
Qwen/Qwen2.5-0.5B,20,0.8333333333333334,mean,1024,2048,4,accuracy,1.0
Qwen/Qwen2.5-0.5B,20,0.8333333333333334,mean,1024,2048,4,macro_f1,1.0
Qwen/Qwen2.5-0.5B,21,0.875,mean,1024,2048,4,accuracy,0.99951171875
Qwen/Qwen2.5-0.5B,21,0.875,mean,1024,2048,4,macro_f1,0.9995117182843383
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,1024,2048,4,accuracy,1.0
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,1024,2048,4,macro_f1,1.0
Qwen/Qwen2.5-0.5B,23,0.9583333333333334,mean,1024,2048,4,accuracy,1.0
Qwen/Qwen2.5-0.5B,23,0.9583333333333334,mean,1024,2048,4,macro_f1,1.0
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,accuracy,1.0
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,macro_f1,1.0
