record_type,model,pooling,condition,seed,test_language,metric,value,comparison,ci_lower,ci_upper,n_resamples,n_train,n_eval
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,en,accuracy,0.7746666666666666,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,en,macro_f1,0.726481281389815,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,ko,accuracy,0.30133333333333334,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,ko,macro_f1,0.2562750484928977,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,ja,accuracy,0.31466666666666665,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,ja,macro_f1,0.28198442606503965,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,zh,accuracy,0.316,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,0,zh,macro_f1,0.3022763791578002,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,en,accuracy,0.7173333333333334,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,en,macro_f1,0.643100795832133,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,ko,accuracy,0.09333333333333334,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,ko,macro_f1,0.05135166933455874,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,ja,accuracy,0.06,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,ja,macro_f1,0.016551685795903416,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,zh,accuracy,0.068,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,1,zh,macro_f1,0.01573397257754016,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,1,en,accuracy,0.7773333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,1,en,macro_f1,0.7279596459827272,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,1,ko,accuracy,0.30733333333333335,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,1,ko,macro_f1,0.2505616303509057,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,1,ja,accuracy,0.2713333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,1,ja,macro_f1,0.2247582908617794,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,1,zh,accuracy,0.294,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,1,zh,macro_f1,0.2731526498655425,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,2,en,accuracy,0.7206666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,2,en,macro_f1,0.6408763941823943,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,2,ko,accuracy,0.092,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,2,ko,macro_f1,0.05208778695339991,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,2,ja,accuracy,0.056,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,2,ja,macro_f1,0.01007543452687216,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,2,zh,accuracy,0.06533333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,2,zh,macro_f1,0.014775286195091476,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,2,en,accuracy,0.778,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,2,en,macro_f1,0.7274636530922235,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,2,ko,accuracy,0.328,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,2,ko,macro_f1,0.2625156205676469,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,2,ja,accuracy,0.292,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,2,ja,macro_f1,0.25994055291672724,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,2,zh,accuracy,0.2826666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,2,zh,macro_f1,0.2646449790554866,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,3,en,accuracy,0.7113333333333334,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,3,en,macro_f1,0.6353679166038245,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,3,ko,accuracy,0.09066666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,3,ko,macro_f1,0.023517236455343444,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,3,ja,accuracy,0.056666666666666664,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,3,ja,macro_f1,0.009975043148234842,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,3,zh,accuracy,0.072,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,3,zh,macro_f1,0.01792639627448397,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,3,en,accuracy,0.7766666666666666,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,3,en,macro_f1,0.7293413934495518,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,3,ko,accuracy,0.22266666666666668,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,3,ko,macro_f1,0.16862704904874606,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,3,ja,accuracy,0.27666666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,3,ja,macro_f1,0.235769913682056,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,3,zh,accuracy,0.2966666666666667,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,3,zh,macro_f1,0.27299324083273796,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,4,en,accuracy,0.718,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,4,en,macro_f1,0.6413655795239421,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,4,ko,accuracy,0.09333333333333334,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,4,ko,macro_f1,0.033092683649919276,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,4,ja,accuracy,0.052,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,4,ja,macro_f1,0.006714280168324369,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,4,zh,accuracy,0.06133333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,last_token,random,4,zh,macro_f1,0.010685742046101664,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,4,en,accuracy,0.774,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,4,en,macro_f1,0.7223176420738819,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,4,ko,accuracy,0.23666666666666666,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,4,ko,macro_f1,0.18104334701993852,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,4,ja,accuracy,0.2813333333333333,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,4,ja,macro_f1,0.2455103076490031,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,4,zh,accuracy,0.274,,,,,3000,1500
metric,trillionlabs/Tri-0.5B-Base,mean,random,4,zh,macro_f1,0.26149962429450446,,,,,3000,1500
bootstrap_delta,trillionlabs/Tri-0.5B-Base,last_token,language,,target_mean,delta_accuracy,0.29577777777777775,language-normal,0.28110555555555555,0.31222222222222223,1000,3000,4500
bootstrap_delta,trillionlabs/Tri-0.5B-Base,last_token,pca,,target_mean,delta_accuracy,0.3768888888888889,pca-normal,0.36110555555555557,0.3940111111111111,1000,3000,4500
bootstrap_delta,trillionlabs/Tri-0.5B-Base,last_token,language,,target_mean,delta_accuracy,-0.08111111111111112,language-pca,-0.09822222222222221,-0.06555555555555555,1000,3000,4500
bootstrap_delta,trillionlabs/Tri-0.5B-Base,mean,language,,target_mean,delta_accuracy,0.14644444444444443,language-normal,0.13044444444444445,0.16222777777777778,1000,3000,4500
bootstrap_delta,trillionlabs/Tri-0.5B-Base,mean,pca,,target_mean,delta_accuracy,0.14066666666666666,pca-normal,0.12221666666666667,0.15645,1000,3000,4500
bootstrap_delta,trillionlabs/Tri-0.5B-Base,mean,language,,target_mean,delta_accuracy,0.0057777777777777775,language-pca,-0.010222222222222223,0.021783333333333325,1000,3000,4500
