model,layer,normalized_depth,pooling,source_language,target_language,metric,n_train,n_eval,condition,status,value
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ja,r10,256,512,centered,ok,0.009765625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ja,r10,256,512,centered_delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ja,r10,256,512,aligned,ok,0.009765625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ja,r10,256,512,delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ja,mrr,256,512,raw,ok,0.011105388016606972
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ja,mrr,256,512,centered,ok,0.007694042844563736
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ja,mrr,256,512,centered_delta,ok,-0.003411345172043236
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ja,mrr,256,512,aligned,ok,0.013092523034737945
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ja,mrr,256,512,delta,ok,0.0019871350181309734
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,r1,256,512,raw,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,r1,256,512,centered,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,r1,256,512,centered_delta,ok,-0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,r1,256,512,aligned,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,r1,256,512,delta,ok,-0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,r5,256,512,raw,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,r5,256,512,centered,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,r5,256,512,centered_delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,r5,256,512,aligned,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,r5,256,512,delta,ok,-0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,r10,256,512,raw,ok,0.0078125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,r10,256,512,centered,ok,0.005859375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,r10,256,512,centered_delta,ok,-0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,r10,256,512,aligned,ok,0.0078125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,r10,256,512,delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,mrr,256,512,raw,ok,0.011748921423374475
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,mrr,256,512,centered,ok,0.005459912544932615
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,mrr,256,512,centered_delta,ok,-0.0062890088784418605
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,mrr,256,512,aligned,ok,0.0055257973562846995
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,mrr,256,512,delta,ok,-0.006223124067089776
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,r1,256,512,raw,ok,0.0078125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,r1,256,512,centered,ok,0.005859375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,r1,256,512,centered_delta,ok,-0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,r1,256,512,aligned,ok,0.00390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,r1,256,512,delta,ok,-0.00390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,r5,256,512,raw,ok,0.029296875
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,r5,256,512,centered,ok,0.017578125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,r5,256,512,centered_delta,ok,-0.01171875
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,r5,256,512,aligned,ok,0.0234375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,r5,256,512,delta,ok,-0.005859375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,r10,256,512,raw,ok,0.04296875
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,r10,256,512,centered,ok,0.041015625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,r10,256,512,centered_delta,ok,-0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,r10,256,512,aligned,ok,0.0390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,r10,256,512,delta,ok,-0.00390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,mrr,256,512,raw,ok,0.024161923170655044
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,mrr,256,512,centered,ok,0.02321714099969092
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,mrr,256,512,centered_delta,ok,-0.000944782170964123
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,mrr,256,512,aligned,ok,0.018550188451196062
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,mrr,256,512,delta,ok,-0.005611734719458982
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,r1,256,512,raw,ok,0.009765625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,r1,256,512,centered,ok,0.009765625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,r1,256,512,centered_delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,r1,256,512,aligned,ok,0.00390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,r1,256,512,delta,ok,-0.005859375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,r5,256,512,raw,ok,0.0234375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,r5,256,512,centered,ok,0.01953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,r5,256,512,centered_delta,ok,-0.00390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,r5,256,512,aligned,ok,0.017578125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,r5,256,512,delta,ok,-0.005859375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,r10,256,512,raw,ok,0.037109375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,r10,256,512,centered,ok,0.03515625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,r10,256,512,centered_delta,ok,-0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,r10,256,512,aligned,ok,0.044921875
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,r10,256,512,delta,ok,0.0078125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,mrr,256,512,raw,ok,0.026578738646823266
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,mrr,256,512,centered,ok,0.026536962387196737
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,mrr,256,512,centered_delta,ok,-4.177625962652892e-05
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,mrr,256,512,aligned,ok,0.01845812542588149
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,mrr,256,512,delta,ok,-0.008120613220941778
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,r1,256,512,raw,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,r1,256,512,centered,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,r1,256,512,centered_delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,r1,256,512,aligned,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,r1,256,512,delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,r5,256,512,raw,ok,0.005859375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,r5,256,512,centered,ok,0.0078125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,r5,256,512,centered_delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,r5,256,512,aligned,ok,0.0078125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,r5,256,512,delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,r10,256,512,raw,ok,0.005859375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,r10,256,512,centered,ok,0.0078125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,r10,256,512,centered_delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,r10,256,512,aligned,ok,0.0078125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,r10,256,512,delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,mrr,256,512,raw,ok,0.010688744788777517
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,mrr,256,512,centered,ok,0.01235068154407971
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,mrr,256,512,centered_delta,ok,0.0016619367553021933
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,mrr,256,512,aligned,ok,0.008301483845266348
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,mrr,256,512,delta,ok,-0.002387260943511169
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,r1,256,512,raw,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,r1,256,512,centered,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,r1,256,512,centered_delta,ok,-0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,r1,256,512,aligned,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,r1,256,512,delta,ok,-0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,r5,256,512,raw,ok,0.005859375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,r5,256,512,centered,ok,0.005859375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,r5,256,512,centered_delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,r5,256,512,aligned,ok,0.005859375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,r5,256,512,delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,r10,256,512,raw,ok,0.03125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,r10,256,512,centered,ok,0.03125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,r10,256,512,centered_delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,r10,256,512,aligned,ok,0.005859375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,r10,256,512,delta,ok,-0.025390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,mrr,256,512,raw,ok,0.01205798762146516
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,mrr,256,512,centered,ok,0.011244216787269563
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,mrr,256,512,centered_delta,ok,-0.0008137708341955964
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,mrr,256,512,aligned,ok,0.006600727058813186
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,mrr,256,512,delta,ok,-0.005457260562651974
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,r1,256,512,raw,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,r1,256,512,centered,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,r1,256,512,centered_delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,r1,256,512,aligned,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,r1,256,512,delta,ok,-0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,r5,256,512,raw,ok,0.021484375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,r5,256,512,centered,ok,0.013671875
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,r5,256,512,centered_delta,ok,-0.0078125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,r5,256,512,aligned,ok,0.0234375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,r5,256,512,delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,r10,256,512,raw,ok,0.025390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,r10,256,512,centered,ok,0.02734375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,r10,256,512,centered_delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,r10,256,512,aligned,ok,0.02734375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,r10,256,512,delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,mrr,256,512,raw,ok,0.01641005735491923
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,mrr,256,512,centered,ok,0.0182367105803396
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,mrr,256,512,centered_delta,ok,0.0018266532254203674
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,mrr,256,512,aligned,ok,0.014484291312143896
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,mrr,256,512,delta,ok,-0.001925766042775336
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,r1,256,512,raw,ok,0.005859375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,r1,256,512,centered,ok,0.00390625
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,r1,256,512,centered_delta,ok,-0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,r1,256,512,aligned,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,r1,256,512,delta,ok,-0.005859375
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,r5,256,512,raw,ok,0.017578125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,r5,256,512,centered,ok,0.01953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,r5,256,512,centered_delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,r5,256,512,aligned,ok,0.017578125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,r5,256,512,delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,r10,256,512,raw,ok,0.046875
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,r10,256,512,centered,ok,0.048828125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,r10,256,512,centered_delta,ok,0.001953125
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,r10,256,512,aligned,ok,0.046875
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,r10,256,512,delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,mrr,256,512,raw,ok,0.02061798731466394
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,mrr,256,512,centered,ok,0.02127114333090549
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,mrr,256,512,centered_delta,ok,0.0006531560162415483
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,mrr,256,512,aligned,ok,0.017451586504788515
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,mrr,256,512,delta,ok,-0.003166400809875427
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,r1,256,512,raw,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,r1,256,512,centered,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,r1,256,512,centered_delta,ok,0.0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,r1,256,512,aligned,ok,0.0
