model,layer,normalized_depth,pooling,metric,estimate,lower,upper,confidence,n_resamples,n,directions
Qwen/Qwen2.5-0.5B,14,0.5833333333333334,mean,r1,0.5123697916666666,0.4998372395833333,0.52587890625,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,15,0.625,mean,r1,0.5724283854166666,0.5610310872395834,0.5849650065104166,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,16,0.6666666666666666,mean,r1,0.50341796875,0.48974609375,0.51741943359375,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,17,0.7083333333333334,mean,r1,0.5579427083333334,0.5447591145833334,0.5709676106770833,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,18,0.75,mean,r1,0.4801432291666667,0.46776936848958334,0.4930013020833333,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,19,0.7916666666666666,mean,r1,0.4822591145833333,0.46955973307291665,0.49528401692708335,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,20,0.8333333333333334,mean,r1,0.45361328125,0.4420572916666667,0.46647542317708335,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,21,0.875,mean,r1,0.3860677083333333,0.37271728515625,0.40006917317708335,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,22,0.9166666666666666,mean,r1,0.5183919270833334,0.5017862955729167,0.53548583984375,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,23,0.9583333333333334,mean,r1,0.3466796875,0.3323567708333333,0.36198323567708335,0.95,1000,512,12
Qwen/Qwen2.5-0.5B,24,1.0,mean,r1,0.043294270833333336,0.036458333333333336,0.051432291666666664,0.95,1000,512,12
