model,block_layer,stage,pooling,condition,source_language,target_language,metric,value,k,n_train,n_eval
Qwen/Qwen2.5-0.5B,24,input,last_token,geometry,,,centroid_separation,51.002017974853516,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,geometry,,,centroid_norm,78.03862762451172,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,geometry,,,language_subspace_variance_fraction,0.5606165200622257,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,geometry,,,language_subspace_centroid_variance,1.0,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,geometry,,,anisotropy,0.8816692553854268,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,geometry,,,stable_rank,3.565799786470742,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,en,ko,r1,0.171875,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,en,ko,mrr,0.27470544034983235,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,en,ja,r1,0.6796875,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,en,ja,mrr,0.7849249628049534,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,en,zh,r1,0.830078125,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,en,zh,mrr,0.8841731533151518,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,ko,en,r1,0.361328125,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,ko,en,mrr,0.46764864024332764,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,ko,ja,r1,0.5703125,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,ko,ja,mrr,0.6742021890420345,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,ko,zh,r1,0.40625,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,ko,zh,mrr,0.5188392400922022,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,ja,en,r1,0.439453125,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,ja,en,mrr,0.5679333864087015,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,ja,ko,r1,0.375,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,ja,ko,mrr,0.48381750317656025,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,ja,zh,r1,0.751953125,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,ja,zh,mrr,0.8272622997528127,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,zh,en,r1,0.703125,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,zh,en,mrr,0.7865832420330305,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,zh,ko,r1,0.212890625,3,1024,2048
Qwen/Qwen2.5-0.5B,24,input,last_token,raw,zh,ko,mrr,0.3142987455752206,3,1024,2048
