model,layer,normalized_depth,pooling,record_type,basis,k,seed,source_language,target_language,metric,value,n_train,n_eval
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,language_subspace,1,,zh,ko,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,language_subspace,1,,zh,ko,mrr,0.01422394533708719,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,language_subspace,1,,zh,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,language_subspace,1,,zh,ja,mrr,0.01338868068220874,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,language_probe,language_subspace,1,,,,accuracy,0.52392578125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,language_probe,language_subspace,1,,,,macro_f1,0.4014670655579682,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,en,ko,r1,0.00390625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,en,ko,mrr,0.015410613138972656,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,en,ja,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,en,ja,mrr,0.005107424034964429,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,en,zh,r1,0.009765625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,en,zh,mrr,0.020103282133235652,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,ko,en,r1,0.00390625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,ko,en,mrr,0.016410809118553287,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,ko,ja,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,ko,ja,mrr,0.00576406492035747,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,ko,zh,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,ko,zh,mrr,0.010244804483562558,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,ja,en,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,ja,en,mrr,0.005472718105524474,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,ja,ko,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,ja,ko,mrr,0.006601073047195084,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,ja,zh,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,ja,zh,mrr,0.005664404459802331,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,zh,en,r1,0.009765625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,zh,en,mrr,0.025162886329559736,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,zh,ko,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,top_pca,1,,zh,ko,mrr,0.015610685995494356,1024,2048
